,Show Number,Date,Location,Corps,Performance Slot,General Effect 1,General Effect 2,General Effect Total,Visual Proficiency,Visual Analysis,Visual Color Guard,Visual Total,Music Brass,Music Analysis,Music Percussion,Music Total,Sub Total,Penalty,Total Score,Competition Latitude,Competition Longitude,General Effect 1 1,General Effect 1 2,General Effect 2 1,General Effect 2 2,Music Analysis 1,Music Analysis 2,Days from Season Start
87,3.0,1 days 00:00:00,"Stanford, California",The Academy,0.0,1.6999999999999993,0.9000000000000004,2.6000000000000014,-1.5,-0.9000000000000004,0.09999999999999964,-1.1499999999999986,0.3000000000000007,0.20000000000000107,0.09999999999999964,0.29999999999999716,1.75,0.0,1.75,0.6013130000000046,-2.46738605534064,,,,,,,1.0
88,1.0,1 days 00:00:00,"Stanford, California",Blue Devils B,0.16666666666666666,0.06666666666666672,0.11666666666666685,0.183333333333333,-0.09999999999999994,0.13333333333333344,-0.05000000000000012,-0.008333333333333451,0.2333333333333334,-0.033333333333333215,0.16666666666666666,0.183333333333333,0.3583333333333331,0.0,0.3583333333333331,0.43353980000000075,-1.0144985092234389,,,,,,,1.0
89,1.0,1 days 00:00:00,"Stanford, California",Gold,-0.16666666666666666,0.04999999999999982,0.16666666666666666,0.21666666666666679,0.0,0.25,0.0,0.125,0.13333333333333316,0.05000000000000012,0.13333333333333344,0.15833333333333321,0.5,0.0,0.5,0.43353980000000075,-1.0144985092234389,,,,,,,1.0
90,1.0,1 days 00:00:00,"Stanford, California",Impulse,-0.16666666666666666,0.16666666666666666,0.4166666666666667,0.5833333333333334,0.05000000000000012,0.38333333333333347,0.04999999999999982,0.24166666666666684,0.21666666666666648,0.2666666666666666,0.25,0.36666666666666653,1.1916666666666664,0.0,1.1916666666666664,0.43353980000000075,-1.0144985092234389,,,,,,,1.0
91,,,"Stanford, California",Golden Empire,,,,,,,,,,,,,,,,,,,,,,,,
92,1.0,1 days 00:00:00,"Stanford, California",Vessel,0.16666666666666666,0.2333333333333334,0.20000000000000018,0.43333333333333296,0.09999999999999994,0.13333333333333316,0.06666666666666672,0.15000000000000036,0.2833333333333332,0.21666666666666648,-0.03333333333333351,0.2333333333333331,0.8166666666666677,0.0,0.8166666666666677,0.43353980000000075,-1.0144985092234389,,,,,,,1.0
93,1.0,1 days 00:00:00,"Stanford, California",Blue Devils C,0.5,0.31666666666666643,0.25,0.5666666666666664,0.06666666666666672,0.2999999999999998,-0.04999999999999982,0.15833333333333321,0.16666666666666666,0.21666666666666679,0.03333333333333351,0.20833333333333334,0.9333333333333323,0.0,0.9333333333333323,0.43353980000000075,-1.0144985092234389,,,,,,,1.0
94,3.0,1 days 00:00:00,"Seattle, Washington",Troopers,-1.0,0.40000000000000036,0.5,0.8999999999999986,0.5,-0.40000000000000036,0.7000000000000011,0.3999999999999986,-0.3000000000000007,0.5999999999999996,0.0,0.14999999999999858,1.4500000000000028,0.0,1.4500000000000028,2.0835849999999994,0.3441320000000019,,,,,,,1.0
95,3.0,1 days 00:00:00,"Seattle, Washington",Blue Knights,1.0,0.3999999999999986,1.0999999999999996,1.5,0.5,0.10000000000000142,0.5999999999999996,0.5999999999999979,0.3000000000000007,0.40000000000000036,0.3999999999999986,0.5500000000000007,2.6500000000000057,0.0,2.6500000000000057,2.0835849999999994,0.3441320000000019,,,,,,,1.0
96,3.0,1 days 00:00:00,"Seattle, Washington",Seattle Cascades,0.0,0.10000000000000142,0.1999999999999993,0.3000000000000007,-0.7000000000000011,-1.0,0.29999999999999893,-0.6999999999999993,-0.1999999999999993,0.09999999999999964,0.9000000000000004,0.40000000000000213,0.0,0.0,0.0,2.0835849999999994,0.3441320000000019,,,,,,,1.0
97,,,"Seattle, Washington",Columbians,,,,,,,,,,,,,,,,,,,,,,,,
